ht,pot,mix,u,v,ws
779.1,272.29,2.931,10.37,-8.8,13.60062131
782.5,272.16,2.932,10.39,-8.78,13.60295924
786,272.12,2.932,10.4,-8.76,13.59770569
789.7,272.08,2.932,10.4,-8.76,13.59770569
793.5,271.95,2.933,10.34,-8.68,13.50029629
797.2,271.91,2.933,10.36,-8.66,13.5027849
800.9,271.87,2.933,10.36,-8.66,13.5027849
804.6,271.73,2.934,10.37,-8.64,13.49764794
808.3,271.7,2.934,10.39,-8.62,13.50024074
812,271.66,2.934,10.4,-8.61,13.50155917
815.7,271.52,2.935,10.4,-8.61,13.50155917
819.5,271.49,2.935,10.42,-8.59,13.50424007
823.2,271.44,2.935,10.43,-8.57,13.49925183
826.9,271.41,2.935,10.43,-8.57,13.49925183
830.6,271.27,2.936,10.45,-8.55,13.50203688
834.4,271.24,2.936,10.46,-8.53,13.49712932
838.8,271.19,2.936,10.46,-8.53,13.49712932
843.2,271.06,2.937,10.48,-8.51,13.50001852
847.6,271.02,2.937,10.41,-8.43,13.39526036
851.9,270.99,2.937,10.41,-8.43,13.39526036
856.3,270.94,2.937,10.43,-8.41,13.39824615
860.7,270.81,2.938,10.44,-8.4,13.39976119
865.1,270.77,2.938,10.44,-8.4,13.39976119
869.5,270.74,2.938,10.44,-8.4,13.39976119
873.9,270.6,2.939,10.46,-8.38,13.40283552
878.2,270.56,2.939,10.46,-8.38,13.40283552
882.6,270.52,2.939,10.46,-8.38,13.40283552
887,270.39,2.941,10.39,-8.3,13.29819913
891.1,270.35,2.941,10.39,-8.3,13.29819913
894.8,270.32,2.941,10.39,-8.3,13.29819913
898.6,270.29,2.941,10.39,-8.3,13.29819913
902.3,270.16,2.942,10.41,-8.28,13.30137211
906,270.12,2.942,10.41,-8.28,13.30137211
909.8,270.09,2.942,10.41,-8.28,13.30137211
913.5,269.96,2.943,10.34,-8.2,13.19680264
917.2,269.93,2.943,10.34,-8.2,13.19680264
921,269.9,2.943,10.34,-8.2,13.19680264
924.7,269.77,2.944,10.36,-8.18,13.20007576
928.4,269.74,2.944,10.36,-8.18,13.20007576
932.1,269.7,2.944,10.36,-8.18,13.20007576
935.9,269.67,2.944,10.36,-8.18,13.20007576
939.3,269.54,2.945,10.29,-8.1,13.09557559
942.2,269.51,2.945,10.29,-8.1,13.09557559
945.1,269.48,2.945,10.29,-8.1,13.09557559
948.1,269.35,2.946,10.31,-8.08,13.09895034
951,269.31,2.946,10.31,-8.08,13.09895034
953.9,269.28,2.946,10.31,-8.08,13.09895034
956.8,269.24,2.946,10.24,-8,12.99452192
959.7,269.12,2.947,10.24,-8,12.99452192
962.7,269.11,2.947,10.24,-8,12.99452192
965.6,269.08,2.947,10.26,-7.99,13.00414165
968.5,269.05,2.947,10.26,-7.99,13.00414165
971.4,268.94,2.948,10.23,-8.02,12.99897304
974.1,268.92,2.948,10.22,-8.04,13.00346108
976.1,268.89,2.948,10.2,-8.06,13.00013846
978.2,268.87,2.948,10.17,-8.09,12.99526837
980.2,268.75,2.949,10.16,-8.11,12.99991154
982.2,268.72,2.949,10.15,-8.13,13.0045915
984.3,268.71,2.949,10.12,-8.16,13
986.3,268.68,2.949,10.18,-8.24,13.09694621
988.3,268.57,2.95,10.17,-8.26,13.10177469
990.4,268.54,2.95,10.14,-8.3,13.10380098
992.4,268.52,2.95,10.12,-8.31,13.09467449
994.4,268.5,2.95,10.11,-8.33,13.09965648
996.5,268.38,2.951,10.08,-8.37,13.10203419
998.5,268.35,2.951,10.06,-8.39,13.09945419
1000.6,268.34,2.951,10.05,-8.4,13.0981869
1003.1,268.31,2.951,10.02,-8.44,13.100916
1005.7,268.28,2.951,10.01,-8.46,13.1061703
1008.2,268.17,2.952,9.99,-8.47,13.09736615
1010.8,268.15,2.952,10.04,-8.57,13.20024621
1013.4,268.12,2.952,10.02,-8.59,13.1980491
1015.9,268.1,2.952,10.01,-8.61,13.20349196
1018.5,267.98,2.953,9.98,-8.64,13.20037878
1021.1,267.96,2.953,9.96,-8.66,13.19837869
