ht_new,ln_ht_new,u_new,v_new,ws_new,,ht_old,ln_ht_old,u_old,v_old,ws_old,,ws_adj,,,ln_ht_old_old,ht,,,u,v,ws_old_old,,ht_new_new,temp,moisture,u_new_new,v_new_new,ws_new_new,ln_ht
,,,,,,,,,,,,,,,5.978632568,394.9,279.72,2.892,8.62,-10.65,13.70134665,,408,279.41,2.894,8.63,-10.51,18.69787939,6.011267174
,,,,,,,,,,,,,,,5.995207533,401.5,279.56,2.893,8.66,-10.62,13.70328428,,414.5,279.34,2.894,8.65,-10.49,18.69514365,6.027072975
,,,,,,,,,,,,,,,6.011267174,408,279.41,2.894,8.63,-10.51,13.59915439,,421.1,279.18,2.895,8.69,-10.46,18.69753745,6.042870335
,,,,,,,,,,,,,,,6.027072975,414.5,279.34,2.894,8.65,-10.49,13.59641865,,427.6,279.13,2.895,8.72,-10.43,18.69369834,6.058188179
,,,,,,,,,,,,,,,6.042870335,421.1,279.18,2.895,8.69,-10.46,13.59881245,,432.7,278.97,2.896,8.76,-10.4,18.69643069,6.070044647
,,,,,,,,,,,,,,,6.058188179,427.6,279.13,2.895,8.72,-10.43,13.59497334,,437.2,278.81,2.897,8.78,-10.39,18.70168424,6.080390756
,,,,,,,,,,,,,,,6.070044647,432.7,278.97,2.896,8.76,-10.4,13.59770569,,441.8,278.76,2.897,8.81,-10.36,18.69819926,6.090857291
,,,,,,,,,,,,,,,6.080390756,437.2,278.81,2.897,8.78,-10.39,13.60295924,,446.3,278.59,2.898,8.85,-10.33,18.70134975,6.100991372
,,,,,,,,,,,,,,,6.090857291,441.8,278.76,2.897,8.81,-10.36,13.59947425,,450.9,278.55,2.898,8.89,-10.3,18.70468325,6.111245585
,,,,,,,,,,,,,,,6.100991372,446.3,278.59,2.898,8.85,-10.33,13.60262475,,455.4,278.41,2.899,8.9,-10.28,18.69609239,6.121176154
,,,,,,,,,,,,,,,6.111245585,450.9,278.55,2.898,8.89,-10.3,13.60595825,,460,278.27,2.9,8.94,-10.25,18.69968453,6.131226489
,,,,,,,,,,,,,,,6.121176154,455.4,278.41,2.899,8.9,-10.28,13.59736739,,464.5,278.23,2.9,8.98,-10.22,18.70345947,6.140961558
,,,,,,,,,,,,,,,6.131226489,460,278.27,2.9,8.94,-10.25,13.60095952,,469.1,278.09,2.901,9.01,-10.19,18.70079102,6.150815965
,,,,,,,,,,,,,,,6.140961558,464.5,278.23,2.9,8.98,-10.22,13.60473447,,473.6,278.05,2.901,9.03,-10.17,18.69908529,6.160363084
,,,,,,,,,,,,,,,6.150815965,469.1,278.09,2.901,9.01,-10.19,13.60206602,,478.2,277.91,2.902,9.06,-10.14,18.69663661,6.170029055
,,,,,,,,,,,,,,,6.160363084,473.6,278.05,2.901,9.03,-10.17,13.60036029,,482.7,277.77,2.903,9.1,-10.11,18.7010079,6.179395343
,,,,,,,,,,,,,,,6.170029055,478.2,277.91,2.902,9.06,-10.14,13.5979116,,487.3,277.73,2.903,9.14,-10.07,18.69815514,6.18887995
,,,,,,,,,,,,,,,6.179395343,482.7,277.77,2.903,9.1,-10.11,13.6022829,,491.6,277.59,2.904,9.17,-10.04,18.69616961,6.197665378
,,,,,,,,,,,,,,,6.18887995,487.3,277.73,2.903,9.14,-10.07,13.59943014,,495.8,277.54,2.904,9.19,-10.03,18.70229071,6.20617262
,,,,,,,,,,,,,,,6.197665378,491.6,277.59,2.904,9.17,-10.04,13.59744461,,499.9,277.4,2.905,9.22,-9.99,18.69315401,6.214408078
,,,,,,,,,,,,,,,6.20617262,495.8,277.54,2.904,9.19,-10.03,13.60356571,,504.1,277.36,2.905,9.26,-9.96,18.69832794,6.222774661
,,,,,,,,,,,,,,,6.214408078,499.9,277.4,2.905,9.22,-9.99,13.59442901,,508.2,277.22,2.906,9.29,-9.93,18.69684987,6.230875071
,,,,,,,,,,,,,,,6.222774661,504.1,277.36,2.905,9.26,-9.96,13.59960294,,512.4,277.18,2.906,9.31,-9.91,18.69593795,6.23910557
,,,,,,,,,,,,,,,6.230875071,508.2,277.22,2.906,9.29,-9.93,13.59812487,,516.5,277.14,2.906,9.34,-9.88,18.69468028,6.247075289
,,,,,,,,,,,,,,,6.23910557,512.4,277.18,2.906,9.31,-9.91,13.59721295,,520.7,277,2.907,9.38,-9.85,18.70044916,6.25517406
,,,,,,,,,,,,,,,6.247075289,516.5,277.14,2.906,9.34,-9.88,13.59595528,,524.8,276.96,2.907,9.41,-9.82,18.69947866,6.263017238
,,,,,,,,,,,,,,,6.25517406,520.7,277,2.907,9.38,-9.85,13.60172416,,529,276.92,2.907,9.45,-9.78,18.69839044,6.270988432
,,,,,,,,,,,,,,,6.263017238,524.8,276.96,2.907,9.41,-9.82,13.60075366,,533.1,276.78,2.908,9.46,-9.77,18.69815514,6.278709024
,,,,,,,,,,,,,,,6.270988432,529,276.92,2.907,9.45,-9.78,13.59966544,,537.2,276.74,2.908,9.5,-9.73,18.69736096,6.286370465
,,,,,,,,,,,,,,,6.278709024,533.1,276.78,2.908,9.46,-9.77,13.59943014,,541.4,276.7,2.908,9.53,-9.7,18.69691973,6.294158377
,,,,,,,,,,,,,,,6.286370465,537.2,276.74,2.908,9.5,-9.73,13.59863596,,545.4,276.56,2.909,9.57,-9.67,18.70364323,6.30151947
,,,,,,,,,,,,,,,6.294158377,541.4,276.7,2.908,9.53,-9.7,13.59819473,,549.2,276.52,2.909,9.6,-9.63,18.69640495,6.308462674
,,,,,,,,,,,,,,,6.30151947,545.4,276.56,2.909,9.57,-9.67,13.60491823,,553,276.39,2.91,9.63,-9.6,18.69640495,6.315358002
,,,,,,,,,,,,,,,6.308462674,549.2,276.52,2.909,9.6,-9.63,13.59767995,,556.7,276.36,2.91,9.65,-9.58,18.69647849,6.322026495
,,,,,,,,,,,,,,,6.315358002,553,276.39,2.91,9.63,-9.6,13.59767995,,560.5,276.32,2.91,9.68,-9.55,18.69669911,6.328829243
,,,,,,,,,,,,,,,6.322026495,556.7,276.36,2.91,9.65,-9.58,13.59775349,,564.3,276.18,2.911,9.72,-9.52,18.70419449,6.335586025
,,,,,,,,,,,,,,,6.328829243,560.5,276.32,2.91,9.68,-9.55,13.59797411,,568.1,276.15,2.911,9.75,-9.48,18.69772864,6.34229746
,,,,,,,,,,,,,,,6.335586025,564.3,276.18,2.911,9.72,-9.52,13.60546949,,571.9,276.12,2.911,9.78,-9.45,18.69839044,6.348964151
,,,,,,,,,,,,,,,6.34229746,568.1,276.15,2.911,9.75,-9.48,13.59900364,,575.6,275.98,2.912,9.82,-9.41,18.69947866,6.355412975
,,,,,,,,,,,,,,,6.348964151,571.9,276.12,2.911,9.78,-9.45,13.59966544,,579.4,275.95,2.912,9.83,-9.4,18.69978746,6.361993085
,,,,,,,,,,,,,,,6.355412975,575.6,275.98,2.912,9.82,-9.41,13.60075366,,583.2,275.91,2.912,9.87,-9.36,18.70116963,6.368530181
,,,,,,,,,,,,,,,6.361993085,579.4,275.95,2.912,9.83,-9.4,13.60106246,,587,275.78,2.913,9.9,-9.33,18.70236054,6.37502482
,,,,,,,,,,,,,,,6.368530181,583.2,275.91,2.912,9.87,-9.36,13.60244463,,590.8,275.74,2.913,9.93,-9.29,18.69684987,6.381477551
,,,,,,,,,,,,,,,6.37502482,587,275.78,2.913,9.9,-9.33,13.60363554,,594.5,275.71,2.913,9.96,-9.26,18.69832794,6.387720716
,,,,,,,,,,,,,,,6.381477551,590.8,275.74,2.913,9.93,-9.29,13.59812487,,598.2,275.57,2.914,9.99,-9.22,18.69315401,6.393925146
,,,,,,,,,,,,,,,6.387720716,594.5,275.71,2.913,9.96,-9.26,13.59960294,,601.8,275.53,2.914,10.03,-9.19,18.70229071,6.399925164
,,,,,,,,,,,,,,,6.393925146,598.2,275.57,2.914,9.99,-9.22,13.59442901,,605.5,275.5,2.914,10.04,-9.17,18.69616961,6.406054563
,,,,,,,,,,,,,,,6.399925164,601.8,275.53,2.914,10.03,-9.19,13.60356571,,609.2,275.37,2.915,10.07,-9.14,18.69815514,6.412146621
,,,,,,,,,,,,,,,6.406054563,605.5,275.5,2.914,10.04,-9.17,13.59744461,,612.8,275.33,2.915,10.11,-9.1,18.7010079,6.418038618
,,,,,,,,,,,,,,,6.412146621,609.2,275.37,2.915,10.07,-9.14,13.59943014,,616.5,275.29,2.915,10.14,-9.06,18.69663661,6.424058323
,,,,,,,,,,,,,,,6.418038618,612.8,275.33,2.915,10.11,-9.1,13.6022829,,620.2,275.16,2.916,10.17,-9.03,18.69908529,6.430042007
,,,,,,,,,,,,,,,6.424058323,616.5,275.29,2.915,10.14,-9.06,13.5979116,,623.8,275.13,2.916,10.2,-8.99,18.69505171,6.435829804
,,,,,,,,,,,,,,,6.430042007,620.2,275.16,2.916,10.17,-9.03,13.60036029,,627.5,274.99,2.917,10.22,-8.98,18.70345947,6.441743671
