ht,pot,mix,u,v,ws,,ht_new,pot_new,mix_new,u_new,v_new,ws_new,,ht_smooth_new,pot_smooth_new,mix_smooth_new,u_smooth_new,v_smooth_new,ws_smooth_new,,Dir_1,Dir_2
285.4,281.72,2.882,7.45,-9.78,12.29434423,,285.4,281.72,2.882,6.84,-8.98,11.29434423,,285.4,281.72,2.882,6.84,-8.98,11.29434423,,0.920260539826308,2.48994934417819
291.8,281.56,2.883,7.53,-9.85,12.39852411,,291.8,281.56,2.883,6.92,-9.06,11.39852411,,291.8,281.56,2.883,6.92,-9.06,11.39852411,,0.918395220752099,2.48953977093123
298.2,281.41,2.883,7.61,-9.92,12.5027397,,298.2,281.41,2.883,7,-9.13,11.5027397,,298.2,281.41,2.883,7,-9.13,11.5027397,,0.916563480807162,2.48770322020473
304.5,281.34,2.884,7.67,-10,12.60273383,,304.5,281.34,2.884,7.06,-9.21,11.60273383,,304.5,281.34,2.884,7.06,-9.21,11.60273383,,0.916655961556975,2.48779281058061
310.9,281.18,2.885,7.75,-10.06,12.69905902,,310.9,281.18,2.885,7.14,-9.27,11.69905902,,310.9,281.18,2.885,7.14,-9.27,11.69905902,,0.914350148696547,2.48548289351497
317.3,281.13,2.885,7.89,-10.21,12.90334065,,317.3,281.13,2.885,7.28,-9.42,11.90334065,,317.3,281.13,2.885,7.28,-9.42,11.90334065,,0.912723812475109,2.48385039889675
323.6,280.97,2.886,7.97,-10.27,12.99976154,,323.6,280.97,2.886,7.36,-9.48,11.99976154,,323.6,280.97,2.886,7.36,-9.48,11.99976154,,0.910506836287542,2.48163093015959
330,280.9,2.886,8.03,-10.35,13.09974809,,330,280.9,2.886,7.42,-9.56,12.09974809,,330,280.9,2.886,7.42,-9.56,12.09974809,,0.910645613351274,2.48176696654898
336.4,280.75,2.887,8.11,-10.42,13.20410921,,336.4,280.75,2.887,7.5,-9.63,12.20410921,,336.4,280.75,2.887,7.5,-9.63,12.20410921,,0.908984585737948,2.48010375029253
342.8,280.59,2.888,8.19,-10.48,13.30062029,,342.8,280.59,2.888,7.57,-9.69,12.30062029,,342.8,280.59,2.888,7.57,-9.69,12.30062029,,0.907882534843408,2.47796871483507
349.2,280.53,2.888,8.25,-10.56,13.40060073,,349.2,280.53,2.888,7.63,-9.77,12.40060073,,349.2,280.53,2.888,7.63,-9.77,12.40060073,,0.908039016558428,2.47813092301424
355.7,280.37,2.889,8.39,-10.7,13.59713573,,355.7,280.37,2.889,7.77,-9.91,12.59713573,,355.7,280.37,2.889,7.77,-9.91,12.59713573,,0.906116843493172,2.4762199794667
362.3,280.31,2.889,8.45,-10.78,13.69711283,,362.3,280.31,2.889,7.83,-9.99,12.69711283,,362.3,280.31,2.889,7.83,-9.99,12.69711283,,0.906283587610236,2.47639213873
368.8,280.16,2.89,8.49,-10.75,13.69826996,,368.8,280.16,2.89,7.87,-9.97,12.69826996,,368.8,280.16,2.89,7.87,-9.97,12.69826996,,0.902347411641739,2.47372869025227
375.3,280,2.891,8.53,-10.72,13.69960948,,375.3,280,2.891,7.91,-9.94,12.69960948,,375.3,280,2.891,7.91,-9.94,12.69960948,,0.898411116663138,2.46979042220287
381.9,279.93,2.891,8.57,-10.69,13.70113134,,381.9,279.93,2.891,7.94,-9.91,12.70113134,,381.9,279.93,2.891,7.94,-9.91,12.70113134,,0.895483949145073,2.46585447858542
388.4,279.78,2.892,8.58,-10.68,13.69959123,,388.4,279.78,2.892,7.95,-9.9,12.69959123,,388.4,279.78,2.892,7.95,-9.9,12.69959123,,0.894377467153821,2.46474759411846
394.9,279.72,2.892,8.62,-10.65,13.70134665,,394.9,279.72,2.892,7.99,-9.87,12.70134665,,394.9,279.72,2.892,7.99,-9.87,12.70134665,,0.890443729632739,2.4608141348425
401.5,279.56,2.893,8.66,-10.62,13.70328428,,401.5,279.56,2.893,8.03,-9.85,12.70328428,,401.5,279.56,2.893,8.03,-9.85,12.70328428,,0.886510223225244,2.45812883212493
408,279.41,2.894,8.63,-10.51,13.59915439,,408,279.41,2.894,8,-9.74,12.59915439,,408,279.41,2.894,8,-9.74,12.59915439,,0.88283537982172,2.45445959079217
414.5,279.34,2.894,8.65,-10.49,13.59641865,,414.5,279.34,2.894,8.01,-9.72,12.59641865,,414.5,279.34,2.894,8.01,-9.72,12.59641865,,0.881628659165835,2.45222425684944
421.1,279.18,2.895,8.69,-10.46,13.59881245,,421.1,279.18,2.895,8.05,-9.69,12.59881245,,421.1,279.18,2.895,8.05,-9.69,12.59881245,,0.87766496237634,2.44825957842248
